date,value,closed,closed_fixed,warty,hoary,breezy,dapper,edgy,feisty,gutsy,hardy,intrepid,jaunty,karmic,lucid,maverick,natty,oneiric,precise,quantal
2003-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-30,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-12-31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-02,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-04,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-05,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-06,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-07,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-08,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-09,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-30,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-02,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-04,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-05,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-06,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-07,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-08,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-09,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-02,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-04,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-05,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-06,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-07,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-08,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-09,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-10,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-11,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-12,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-13,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-14,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-15,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-16,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
